"code","Phylum","Genus","filename","Replicate","Di_2,3_diaminopropionic acid_14073","Tri_2,3_diaminopropionic acid_14940","Di_ornithine_15391","Tri_ornithine_17210","Tri_histidine_17315","Tri_2,3_diaminopropionic acid_17863","Tri_2,3_diaminopropionic acid_17869","Di_ornithine_17963","Tri_arginine_18281","Tri_2,3_diaminopropionic acid_18373","Tri_proline_M+NH4_18411","Tri_putrescine_18433","Tri_cystine_19329","Tri_cadaverine_19586","3a,7a,12k_alanine_20366","Tri_glutamine_22099","Di_citrulline_22104","Tri_citrulline_22220","Tri_phenylalanine_22512","Di_ornithine_22619","Di_phenylalanine_22687","Tri_serine_23158","3a,7a,12k_lysine_23168","3k12a_lysine_23849","Tri_GABA_M+H2O_23885","3a7k_citrulline_24966","Di_lysine_25070","Di_ornithine_25325","3a7k_threonine_27078","Di_alanine_27176","3k7a_glutamine_29953","Di_glutamine_30065","Di_glutamine_30067","Di_glutamine_31254","Di_citrulline_31270","Mono_ornithine_31596","Mono_lysine_32192","Tri_dopamine_32195","Di_serine_32622","Di_threonine_33288","Mono_ornithine_33494","Tri_methionine_33885","Di_dopamine_34015","Di_unconjugated_34634","Di_methionine_34896","Tri_2_aminophenol_35037","Di_alanine_35826","Tri_3_methoxytyramine_36008","Di_3_methoxytyramine_37128","Di_3_methoxytyramine_37165","Di_dopamine_38088","Tri_tryptamine_38723","Mono_tyramine_38979","Di_3_methoxytyramine_39396","Mono_methionine_41397","Mono_phenylalanine_41412","Mono_serotonin_42743","Tri_glyglycine_20401"
"A0A069S9I0","Bacteroidota","Phocaeicola","P1_A3_cluster54_A0A069S9I0_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A069S9I0","Bacteroidota","Phocaeicola","P1_A3_cluster54_A0A069S9I0","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A069S9I0","Bacteroidota","Phocaeicola","P1_A3_cluster54_A0A069S9I0_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A078S2R5","Bacteroidota","Bacteroides","P1_B2_cluster23_A0A078S2R5","rep1",73969.39,39463.508,0,0,0,0,0,320608.2,0,7066597.5,10168.439,6859.014,0,0,652848.5,0,5643.574,0,0,0,1157.3,0,0,0,10632.498,0,0,83608.18,0,50594.707,0,0,1053.754,0,0,3382.701,4046.542,3995.595,0,0,1092725,0,218221.62,89006.47,0,1090300.9,181117.73,14404.575,711738.06,60316.234,56349.754,8296.699,443868.3,84892.234,9948.436,0,5965.191,0
"A0A078S2R5","Bacteroidota","Bacteroides","P1_B2_cluster23_A0A078S2R5_rep3","rep3",63817.086,65544.49,1475.661,0,0,0,0,302762.97,0,6756087,9019.242,8029.022,0,0,388205.94,0,3822.178,0,0,0,1769.412,0,0,0,3483.57,0,0,74536.76,0,33359.688,0,0,0,0,0,0,1298.282,3713.889,0,0,965412.25,0,178193.5,71709.414,0,1023266.9,201083.72,7245.954,674613.1,43699.742,35610.234,0,339382.88,83296.766,10458.543,15319.635,45710.42,0
"A0A078S2R5","Bacteroidota","Bacteroides","P1_B2_cluster23_A0A078S2R5_rep2","rep2",89949.74,34604.336,0,0,0,0,0,354960.4,0,7144524.5,10230.122,9743.044,0,0,697099.6,0,1535.27,0,0,0,2749.155,0,0,0,22356.242,0,0,40318.406,0,23599.799,0,0,0,0,0,0,6812.489,7979.752,0,0,1749858.9,0,210409.88,88032.52,0,955860.2,248160.44,13157.982,588513.25,25569.035,32068.174,0,526610.56,0,18368.904,0,56643.816,0
"A0A096B1U0","Bacillota","Flavonifractor","P1_D5_cluster183_A0A096B1U0_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A096B1U0","Bacillota","Flavonifractor","P1_D5_cluster183_A0A096B1U0","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2711.312,0,0,0,0,0,0,0,0,0,0,0,0,0,1848.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A096B1U0","Bacillota","Flavonifractor","P1_D5_cluster183_A0A096B1U0_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A096DGB7","Bacillota","Flavonifractor","P1_D6_cluster245_A0A096DGB7_rep2","rep2",0,0,0,0,0,0,0,0,0,165422.94,0,0,0,0,89354.45,0,0,0,0,0,0,0,0,0,58974.914,0,0,9573.403,0,0,0,0,0,0,0,0,0,0,1037.948,0,3685.322,0,0,0,0,14465.469,0,0,0,0,0,0,0,0,0,0,0,0
"A0A096DGB7","Bacillota","Flavonifractor","P1_D6_cluster245_A0A096DGB7_rep3","rep3",0,0,0,0,0,0,0,0,0,10997.122,0,0,0,0,2459.51,0,0,0,0,0,0,0,0,0,6599.842,0,0,1110.3356,0,0,0,0,0,0,913.8396,0,0,0,0,0,139.5976,0,0,0,0,465.6779,0,0,0,0,0,0,0,0,0,0,0,718.8106
"A0A096DGB7","Bacillota","Flavonifractor","P1_D6_cluster245_A0A096DGB7","rep1",0,0,0,0,0,0,0,0,0,190258.03,0,0,0,0,77132.62,0,0,0,0,0,0,0,1359.711,0,70480.164,0,0,6868.386,0,0,0,0,0,0,0,0,0,0,9626.958,0,4804.661,0,0,0,0,27772.5,5114.501,0,0,0,0,0,0,0,0,0,0,0
"A0A096KTH7","Actinomycetota","Collinsella","P1_E1_cluster10_A0A096KTH7_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A096KTH7","Actinomycetota","Collinsella","P1_E1_cluster10_A0A096KTH7_rep3","rep3",0,0,0,0,0,0,53209.273,0,0,1283866.4,0,0,0,0,664373.8,0,0,0,0,0,0,7775.1304,169285.97,0,81565.04,0,1541.6226,0,0,0,0,0,0,3503.1926,0,0,0,0,35170.242,25908.887,491.9229,25568.646,0,6372.006,0,136854.92,303905.2,0,0,0,0,0,0,0,10561.504,0,6172.8643,99902.836
"A0A096KTH7","Actinomycetota","Collinsella","P1_E1_cluster10_A0A096KTH7","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0B8QU93","Bacillota","Lactococcus","P1_D2_cluster36_A0A0B8QU93_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0B8QU93","Bacillota","Lactococcus","P1_D2_cluster36_A0A0B8QU93","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0B8QU93","Bacillota","Lactococcus","P1_D2_cluster36_A0A0B8QU93_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0D8IVP2","Bacillota","Ruthenibacterium","P1_B9_cluster391_A0A0D8IVP2_rep2","rep2",0,0,0,0,0,0,0,0,0,72608.11,0,0,0,0,144787.9,0,0,0,0,0,0,0,17154.58,0,14131.064,0,0,0,9204.659,0,0,0,0,981.4615,0,0,0,0,42095.13,0,0,28166.447,0,0,0,0,33222.926,0,0,0,0,0,0,0,0,0,0,0
"A0A0D8IVP2","Bacillota","Ruthenibacterium","P1_B9_cluster391_A0A0D8IVP2_rep3","rep3",0,0,0,0,0,0,0,0,0,48157.004,0,0,0,0,68045.766,0,0,0,0,0,1098.826,0,8786.437,0,6032.188,0,0,0,0,0,0,0,0,0,2212.178,0,0,0,70785.65,0,0,22121.697,0,0,0,0,9612.912,0,0,0,0,0,0,0,2013.351,0,0,0
"A0A0D8IVP2","Bacillota","Ruthenibacterium","P1_B9_cluster391_A0A0D8IVP2","rep1",0,0,0,0,0,0,0,0,0,69382.48,0,0,0,0,109414.26,0,0,0,0,0,0,0,18114.422,0,5528.953,0,0,0,9186.256,0,0,0,0,1351.285,5233.762,0,0,0,73470.48,0,0,23767.52,0,0,0,0,23700.527,0,0,0,0,0,0,0,0,0,0,0
"A0A0F0CI09","Bacillota","Clostridium","P1_D7_cluster269_A0A0F0CI09_rep2","rep2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0F0CI09","Bacillota","Clostridium","P1_D7_cluster269_A0A0F0CI09","rep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0F0CI09","Bacillota","Clostridium","P1_D7_cluster269_A0A0F0CI09_rep3","rep3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
