filename,Code,Replicate,"Di_2,3_diaminopropionic acid_14073","Tri_2,3_diaminopropionic acid_14940",Di_ornithine_15391,Tri_ornithine_17210,Tri_histidine_17315,"Tri_2,3_diaminopropionic acid_17863","Tri_2,3_diaminopropionic acid_17869",Di_ornithine_17963,Tri_arginine_18281,"Tri_2,3_diaminopropionic acid_18373",Tri_proline_M+NH4_18411,Tri_putrescine_18433,Tri_cystine_19329,Tri_cadaverine_19586,"3a,7a,12k_alanine_20366",Tri_asparagine_20433,3k7a_proline_M+NH4_21780,Tri_glutamine_22099,Di_citrulline_22104,Tri_citrulline_22220,Tri_phenylalanine_22512,Di_ornithine_22619,Di_phenylalanine_22687,Tri_GABA_22882,Tri_serine_23158,"3a,7a,12k_lysine_23168",Di_threonine_23465,3k12a_lysine_23849,Tri_GABA_M+H2O_23885,3a7k_glutamine_24909,3a7k_citrulline_24966,Di_lysine_25070,Di_ornithine_25325,3a7k_serine_26456,Tri_GABA_26794,3a7k_threonine_27078,Di_alanine_27176,3a12k_serine_27652,Tri_alanine_28457,3k7a_glutamine_29953,Di_glutamine_30065,Di_glutamine_30067,Di_glutamine_31254,Di_citrulline_31270,Mono_ornithine_31596,Tri_dopamine_32050,Mono_lysine_32192,Tri_dopamine_32195,Di_serine_32622,Di_threonine_33288,Di_GABA_33328,Mono_ornithine_33494,Tri_methionine_33885,Di_dopamine_34015,Di_unconjugated_34634,Di_methionine_34896,Tri_2_aminophenol_35037,Di_alanine_35826,Tri_3_methoxytyramine_36008,Di_GABA_36169,Di_2_aminophenol_36589,Mono_glutamine_37103,Di_3_methoxytyramine_37128,Di_3_methoxytyramine_37165,Di_alanine_37411,Tri_phenylalanine_37508,Di_dopamine_38088,Tri_tryptamine_38723,Mono_tyramine_38979,Di_3_methoxytyramine_39396,Di_phenylalanine_39833,Tri_2_aminophenol_39976,Tri_phenylalanine_40024,Mono_alanine_40140,Di_2_aminophenol_40269,Mono_GABA_40494,Mono_methionine_41397,Mono_phenylalanine_41412,Mono_2_aminophenol_41901,Mono_serotonin_42743,Mono_2_aminophenol_45657,Tri_glyglycine_20401
Blank_post,NA,rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952.304,0,0,0,0,0,0,0
Blank_post_rep2,NA,rep2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6265.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6477.123,0,0,0,0,0,0,0,8416.076,0,0,0,0,0,0,0,0,0
Blank_pre,NA,rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4429.496,0,0,0,0,0,0,0
Blank_pre_rep2,NA,rep2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4679.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6975.816,0,0,0,0,0,0,0,7414.527,0,0,0,0,0,0,0,0,0
Blank_pre_rep3,NA,rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6133.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800.485,0,0,0,0,0,0,0,6093.836,0,0,0,0,0,0,0,0,0
P1_A1_cluster4_A0A0P0LK75,A0A0P0LK75,rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537.123,0
P1_A1_cluster4_A0A0P0LK75_rep2,A0A0P0LK75,rep2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_A1_cluster4_A0A0P0LK75_rep3,A0A0P0LK75,rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_A10_cluster424_A0A1Q6E5Z9,A0A1Q6E5Z9,rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965.5327,0
P1_A10_cluster424_A0A1Q6E5Z9_rep2,A0A1Q6E5Z9,rep2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
