code,Species,Phylum,Genus,Class,Order,Species,Taxonomy ID
A0A009H418,Acinetobacter sp. 1295259,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 1295259,1310608
A0A009LMT5,Acinetobacter sp. 1475718,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 1475718,1310652
A0A009RT29,Acinetobacter sp. 809848,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 809848,1310637
A0A009ZCJ9,Acinetobacter sp. 479375,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 479375,1310601
A0A010IL67,Acinetobacter sp. 1542444,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 1542444,1310681
A0A010Q9J3,Finegoldia magna ALB8,Bacillota,Finegoldia,Tissierellia,Tissierellales,Finegoldia magna ALB8,1459804
A0A011TVG2,Brucella anthropi,Pseudomonadota,Brucella,Alphaproteobacteria,Hyphomicrobiales,Brucella anthropi,529
A0A011UQH5,Brucella anthropi,Pseudomonadota,Brucella,Alphaproteobacteria,Hyphomicrobiales,Brucella anthropi,529
A0A011VLV5,Aquamicrobium defluvii,Pseudomonadota,Aquamicrobium,Alphaproteobacteria,Hyphomicrobiales,Aquamicrobium defluvii,69279
A0A013S4L8,Acinetobacter sp. 742879,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 742879,1310791
A0A013SYA1,Acinetobacter sp. 826659,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 826659,1310764
A0A014AT65,Acinetobacter sp. 25977_8,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 25977_8,1310912
A0A014B2B9,Acinetobacter sp. 25977_7,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 25977_7,1310911
A0A014CF43,Acinetobacter sp. 25977_1,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 25977_1,1310905
A0A014CLX4,Acinetobacter sp. 25977_6,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 25977_6,1310910
A0A014EM67,Acinetobacter sp. 25977_2,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 25977_2,1310906
A0A014NKR3,Comamonas aquatica DA1877,Pseudomonadota,Comamonas,Betaproteobacteria,Burkholderiales,Comamonas aquatica DA1877,1457173
A0A015TQQ9,Bacteroides fragilis str. 3988T(B)14,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. 3988T(B)14,1339315
A0A015TQY4,Bacteroides fragilis str. 3986 N(B)19,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. 3986 N(B)19,1339289
A0A015TX15,Bacteroides fragilis str. 3998T(B)3,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. 3998T(B)3,1339316
A0A015W7J5,Bacteroides fragilis str. J-143-4,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. J-143-4,1339271
A0A015X5Y2,Bacteroides fragilis str. S36L11,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. S36L11,1339327
A0A015XJI6,Bacteroides fragilis str. J-143-4,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. J-143-4,1339271
A0A015Y9D3,Bacteroides fragilis str. 2-F-2 #4,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. 2-F-2 #4,1339280
A0A015YLY0,Bacteroides fragilis str. 2-F-2 #4,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. 2-F-2 #4,1339280
A0A016CKE7,Bacteroides fragilis str. 3976T8,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. 3976T8,1339314
A0A016FHR4,Bacteroides fragilis str. 1007-1-F #3,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. 1007-1-F #3,1339337
A0A017N4W2,Bacteroides fragilis str. S23L17,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis str. S23L17,1339329
A0A021WZC4,Shinella sp. DD12,Pseudomonadota,Shinella,Alphaproteobacteria,Hyphomicrobiales,Shinella sp. DD12,1410620
A0A022IY64,Acinetobacter sp. 1564232,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 1564232,1310723
A0A023J8T6,Enterococcus durans,Bacillota,Enterococcus,Bacilli,Lactobacillales,Enterococcus durans,53345
A0A023Y1Z9,Stenotrophomonas rhizophila,Pseudomonadota,Stenotrophomonas,Gammaproteobacteria,Xanthomonadales,Stenotrophomonas rhizophila,216778
A0A024FL42,Winogradskyella sp. PG-2,Bacteroidota,Winogradskyella,Flavobacteriia,Flavobacteriales,Winogradskyella sp. PG-2,754409
A0A031I5K2,Delftia sp. RIT313,Pseudomonadota,Delftia,Betaproteobacteria,Burkholderiales,Delftia sp. RIT313,1468410
A0A059MP64,Rhodococcus aetherivorans,Actinomycetota,Rhodococcus,Actinomycetes,Mycobacteriales,Rhodococcus aetherivorans,191292
A0A059MX18,Enterococcus faecalis 918,Bacillota,Enterococcus,Bacilli,Lactobacillales,Enterococcus faecalis 918,1338519
A0A060RFW0,Streptococcus gallolyticus,Bacillota,Streptococcus,Bacilli,Lactobacillales,Streptococcus gallolyticus,315405
