sample,code
P1_A3_cluster54_A0A069S9I0,A0A069S9I0
P1_B2_cluster23_A0A078S2R5,A0A078S2R5
P1_D5_cluster183_A0A096B1U0,A0A096B1U0
P1_D6_cluster245_A0A096DGB7,A0A096DGB7
P1_E1_cluster10_A0A096KTH7,A0A096KTH7
P1_D2_cluster36_A0A0B8QU93,A0A0B8QU93
P1_B9_cluster391_A0A0D8IVP2,A0A0D8IVP2
P1_D7_cluster269_A0A0F0CI09,A0A0F0CI09
P1_H5_cluster213_A0A0F5JPH2,A0A0F5JPH2
P1_G4_cluster149_A0A0G8G768,A0A0G8G768
P1_G6_cluster256_A0A0M6WH75,A0A0M6WH75
P1_G3_cluster98_A0A0M6WMX1,A0A0M6WMX1
P1_F2_cluster40_A0A0M6WSM3,A0A0M6WSM3
P1_A2_cluster21_A0A0P0FKS2,A0A0P0FKS2
P1_A1_cluster4_A0A0P0LK75,A0A0P0LK75
P1_H10_cluster525_A0A0S2W269,A0A0S2W269
P1_C12_cluster634_A0A173ZD58,A0A173ZD58
P1_F1_cluster11_A0A174CW35,A0A174CW35
P1_C3_cluster64_A0A174DZA2,A0A174DZA2
P1_G5_cluster206_A0A174MBD8,A0A174MBD8
P1_A9_cluster388_A0A174YG41,A0A174YG41
P1_A5_cluster169_A0A174Z2R4,A0A174Z2R4
P1_C5_cluster178_A0A174ZD20,A0A174ZD20
P1_A6_cluster218_A0A1C5L0B6,A0A1C5L0B6
P1_C4_cluster119_A0A1C5LGL2,A0A1C5LGL2
P1_C9_cluster392_A0A1C5M2J2,A0A1C5M2J2
P1_E9_cluster398_A0A1C5MIH1,A0A1C5MIH1
P1_A8_cluster314_A0A1C5MV31,A0A1C5MV31
P1_G2_cluster44_A0A1C5PCN0,A0A1C5PCN0
P1_B5_cluster177_A0A1C5QNJ0,A0A1C5QNJ0
P1_D1_cluster8_A0A1C5S406,A0A1C5S406
P1_F3_cluster86_A0A1C5V0T2,A0A1C5V0T2
P1_E4_cluster144_A0A1C5VKY6,A0A1C5VKY6
P1_A11_cluster526_A0A1C5X749,A0A1C5X749
P1_H4_cluster168_A0A1C6A728,A0A1C6A728
P1_B3_cluster56_A0A1C6E6X3,A0A1C6E6X3
P1_G7_cluster285_A0A1C6E707,A0A1C6E707
P1_G12_cluster830_A0A1C6FDU7,A0A1C6FDU7
P1_G1_cluster13_A0A1C7H271,A0A1C7H271
P1_E5_cluster184_A0A1D2WV04,A0A1D2WV04
P1_E7_cluster272_A0A1E3ADP5,A0A1E3ADP5
P2_F4_Marinobacter_A0A1I4P275,A0A1I4P275
P1_E2_cluster38_A0A1M3L7G3,A0A1M3L7G3
P2_H3_Halodesulfovibrio_A0A1N6ECR1,A0A1N6ECR1
P1_A10_cluster424_A0A1Q6E5Z9,A0A1Q6E5Z9
P1_E3_cluster83_A0A1Q6F0C9,A0A1Q6F0C9
P1_F11_cluster564_A0A1Q6JXM9,A0A1Q6JXM9
P1_B7_cluster265_A0A1Q6K9G3,A0A1Q6K9G3
P1_A12_cluster582_A0A1Q6M5M7,A0A1Q6M5M7
P1_F7_cluster277_A0A1Q6PYZ4,A0A1Q6PYZ4
P1_E10_cluster470_A0A1Q6RAM4,A0A1Q6RAM4
P2_A1_cluster870_A0A1Q6SNA2,A0A1Q6SNA2
P1_D3_cluster70_A0A1Y3QT37,A0A1Y3QT37
P1_G9_cluster417_A0A1Y3TDY5,A0A1Y3TDY5
P1_F5_cluster200_A0A1Y3VSR9,A0A1Y3VSR9
P1_D9_cluster395_A0A1Y3YYW1,A0A1Y3YYW1
P2_G4_polyamineBSH_A0A1Y4QH48,A0A1Y4QH48
P2_E2_Aureitalea_A0A2S7KLN3,A0A2S7KLN3
P2_F2_Blastospirellula_A0A2S8G2H3,A0A2S8G2H3
P2_G2_Blastospirellula_A0A2S8GTJ2,A0A2S8GTJ2
P1_H2_cluster47_A0A2T3FKY8,A0A2T3FKY8
P1_A7_cluster264_A0A2V1JL81,A0A2V1JL81
P1_H8_cluster387_A0A316LWP8,A0A316LWP8
P1_C10_cluster428_A0A316Q414,A0A316Q414
P1_B10_cluster427_A0A316R4M9,A0A316R4M9
P2_A3_Prosthecochloris_A0A317T5Z6,A0A317T5Z6
P1_H3_cluster103_A0A349QN89,A0A349QN89
P1_D11_cluster557_A0A350RPF7,A0A350RPF7
P1_G11_cluster569_A0A350THC0,A0A350THC0
P1_B8_cluster359_A0A357TLK7,A0A357TLK7
P1_G8_cluster383_A0A357TN00,A0A357TN00
P1_F4_cluster145_A0A358VEZ8,A0A358VEZ8
P1_E11_cluster560_A0A373HJM3,A0A373HJM3
P1_C11_cluster546_A0A395V718,A0A395V718
P1_B6_cluster225_A0A395WCM1,A0A395WCM1
P1_H6_cluster257_A0A396KEZ6,A0A396KEZ6
P1_B12_cluster586_A0A3D0HN78,A0A3D0HN78
P1_H12_cluster838_A0A3D3YKZ5,A0A3D3YKZ5
P1_H9_cluster422_A0A3D4LSP0,A0A3D4LSP0
P2_H2_Mycobacterium_A0A3E2MNL2,A0A3E2MNL2
P1_F12_cluster791_A0A3E2XR62,A0A3E2XR62
P1_E6_cluster247_A0A3E4KT54,A0A3E4KT54
P1_H7_cluster308_A0A3E4LQA4,A0A3E4LQA4
P1_D8_cluster363_A0A3N2MZX6,A0A3N2MZX6
P1_F6_cluster255_A0A3R6IUG4,A0A3R6IUG4
P1_F8_cluster369_A0A412TTM9,A0A412TTM9
P1_C7_cluster266_A0A413RDG7,A0A413RDG7
P1_C6_cluster239_A0A414M9L3,A0A414M9L3
P1_F9_cluster406_A0A414Q275,A0A414Q275
P2_B1_cluster900_A0A416W0A8,A0A416W0A8
P1_B4_cluster116_A0A416W4H5,A0A416W4H5
P2_B3_Francisella_A0A5C2BYC4,A0A5C2BYC4
P2_C3_Francisella_A0A5C2C0X5,A0A5C2C0X5
P2_D3_Francisella_A0A5C2C1U8,A0A5C2C1U8
P1_H11_cluster581_A0A6I3NAM9,A0A6I3NAM9
P1_C8_cluster362_A0A6N3FX58,A0A6N3FX58
