Tree node ID,Tree node label,Color,Label,SP_length,,,,,
cluster83_A0A1Q6F0C9,A0A1Q6F0C9,#A11202,Actinomycetota,96,,,,,
cluster359_A0A357TLK7,A0A357TLK7,#EF392C,Bacillota,94,,,,,
cluster285_A0A1C6E707,A0A1C6E707,#EF392C,Bacillota,103,,,,,
cluster470_A0A1Q6RAM4,A0A1Q6RAM4,#EF392C,Bacillota,96,,,,,
cluster269_A0A0F0CI09,A0A0F0CI09,#EF392C,Bacillota,99,,,,,
cluster206_A0A174MBD8,A0A174MBD8,#EF392C,Bacillota,97,,,,,
cluster525_A0A0S2W269,A0A0S2W269,#EF392C,Bacillota,103,,,,,
cluster183_A0A096B1U0,A0A096B1U0,#EF392C,Bacillota,104,,,,,
cluster272_A0A1E3ADP5,A0A1E3ADP5,#EF392C,Bacillota,102,,,,,
Aureitalea_A0A2S7KLN3,A0A2S7KLN3,#88419D,Bacteroidota,26,,,,,
Maribacter_A0A848U0C2,A0A848U0C2,#88419D,Bacteroidota,24,,,,,
Francisella_A0A5C2C1U8,A0A5C2C1U8,#165C38,Pseudomonadota,23,,,,,
Blastospirellula_A0A2S8GTJ2,A0A2S8GTJ2,#541052,Planctomycetota,11,,,,,
Blastospirellula_A0A2S8G2H3,A0A2S8G2H3,#541052,Planctomycetota,27,,,,,
Okeania_SIO1F9_A0A6B3PFJ7,A0A6B3PFJ7,#74C476,Cyanobacteriota,25,,,,,
Symploca_SIO2E9_A0A6B3M9R4,A0A6B3M9R4,#74C476,Cyanobacteriota,27,,,,,
cluster363_A0A3N2MZX6,A0A3N2MZX6,#88419D,Bacteroidota,23,,,,,
cluster70_A0A1Y3QT37,A0A1Y3QT37,#88419D,Bacteroidota,25,,,,,
cluster838_A0A3D3YKZ5,A0A3D3YKZ5,#88419D,Bacteroidota,25,,,,,
cluster116_A0A416W4H5,A0A416W4H5,#88419D,Bacteroidota,25,,,,,
cluster31_A0A8J7U9Z7,A0A8J7U9Z7,#88419D,Bacteroidota,29,,,,,
Marinobacter_A0A1I4P275,A0A1I4P275,#165C38,Pseudomonadota,24,,,,,
Myroides_A0A7K1GNS5,A0A7K1GNS5,#88419D,Bacteroidota,26,,,,,
cluster11_A0A174CW35,A0A174CW35,#88419D,Bacteroidota,0,,,,,
cluster976_G5H9N3,G5H9N3,#88419D,Bacteroidota,0,,,,,
cluster21_A0A0P0FKS2,A0A0P0FKS2,#88419D,Bacteroidota,26,,,,,
cluster960_G5H9U7,G5H9U7,#88419D,Bacteroidota,15,,,,,
Melainabacteria_A0A952U252,A0A952U252,#74C476,Cyanobacteriota,22,,,,,
Prosthecochloris_A0A317T5Z6,A0A317T5Z6,#88419D,Bacteroidota,0,,,,,
